side,level,entry_idx,entry_date,entry_price,exit_idx,exit_date,exit_price,qty,pnl,pnl_pct,exit_reason,sl_price,tp_price
BUY,173.62,782,2023-03-14 00:00:00,175.71,785,2023-03-17 00:00:00,183.07,326.68,2345.73,4.19,TP,172.03,183.07
BUY,201.5,786,2023-03-20 00:00:00,203.73,792,2023-03-28 00:00:00,213.72,250.32,2448.41,4.9,TP,198.74,213.72
BUY,215.44,793,2023-03-29 00:00:00,217.99,795,2023-03-31 00:00:00,212.12,221.13,-1345.6,-2.69,SL,212.12,229.73
SELL,217.97,796,2023-04-03 00:00:00,216.09,801,2023-04-10 00:00:00,221.96,216.55,-1318.57,-2.72,SL,221.96,204.35
SELL,220.51,802,2023-04-11 00:00:00,218.6,806,2023-04-17 00:00:00,223.07,278.47,-1306.26,-2.04,SL,223.07,209.66
BUY,230.65,807,2023-04-18 00:00:00,232.66,815,2023-04-28 00:00:00,241.39,279.5,2373.82,3.75,TP,228.3,241.39
BUY,240.79,816,2023-05-02 00:00:00,242.62,817,2023-05-03 00:00:00,238.17,284.52,-1334.51,-1.83,SL,238.17,251.51
BUY,236.98,818,2023-05-04 00:00:00,238.89,821,2023-05-10 00:00:00,233.94,250.39,-1298.62,-2.07,SL,233.94,248.79
BUY,226.84,822,2023-05-11 00:00:00,229.32,831,2023-05-24 00:00:00,241.73,195.4,2378.93,5.41,TP,223.11,241.73
SELL,245.85,832,2023-05-25 00:00:00,243.76,834,2023-05-29 00:00:00,249.89,205.71,-1311.81,-2.51,SL,249.89,231.5
SELL,247.12,835,2023-05-30 00:00:00,244.65,840,2023-06-06 00:00:00,233.78,226.98,2413.02,4.44,TP,250.09,233.78
BUY,239.52,842,2023-06-08 00:00:00,241.77,852,2023-06-23 00:00:00,235.42,202.06,-1331.27,-2.63,SL,235.42,254.47
BUY,236.98,853,2023-06-26 00:00:00,238.4,863,2023-07-10 00:00:00,247.25,283.62,2441.16,3.71,TP,233.97,247.25
SELL,249.66,864,2023-07-11 00:00:00,247.99,874,2023-07-25 00:00:00,247.2,337.27,182.94,0.32,TIMEOUT,251.86,240.24
BUY,248.39,877,2023-07-28 00:00:00,249.25,878,2023-07-31 00:00:00,254.97,457.66,2502.44,2.29,TP,246.39,254.97
BUY,266.13,879,2023-08-01 00:00:00,268.5,882,2023-08-04 00:00:00,264.14,311.69,-1441.97,-1.62,SL,264.14,277.22
SELL,263.6,883,2023-08-07 00:00:00,261.92,886,2023-08-10 00:00:00,267.48,239.23,-1393.45,-2.12,SL,267.48,250.79
SELL,263.6,888,2023-08-14 00:00:00,260.45,898,2023-08-28 00:00:00,266.72,207.7,-1357.0,-2.41,SL,266.72,247.91
SELL,267.4,899,2023-08-29 00:00:00,265.68,906,2023-09-07 00:00:00,256.11,266.76,2483.3,3.6,TP,270.46,256.11
SELL,257.26,907,2023-09-08 00:00:00,255.68,909,2023-09-12 00:00:00,260.09,300.4,-1402.25,-1.72,SL,260.09,246.86
SELL,259.79,910,2023-09-13 00:00:00,258.18,913,2023-09-18 00:00:00,262.79,281.29,-1370.01,-1.79,SL,262.79,248.95
SELL,254.73,914,2023-09-19 00:00:00,252.72,920,2023-09-27 00:00:00,257.66,256.95,-1334.9,-1.95,SL,257.66,242.84
BUY,255.99,921,2023-09-28 00:00:00,257.67,931,2023-10-12 00:00:00,264.5,257.27,1690.01,2.65,TIMEOUT,252.84,267.32
SELL,264.86,932,2023-10-13 00:00:00,263.51,933,2023-10-16 00:00:00,267.8,297.54,-1355.48,-1.63,SL,267.8,254.93
BUY,268.67,934,2023-10-17 00:00:00,270.0,944,2023-10-31 00:00:00,268.35,285.23,-547.41,-0.61,TIMEOUT,265.62,278.76
BUY,267.4,945,2023-11-01 00:00:00,269.68,950,2023-11-08 00:00:00,278.3,287.33,2398.03,3.2,TP,265.37,278.3
SELL,278.8,951,2023-11-09 00:00:00,276.65,952,2023-11-10 00:00:00,280.54,330.68,-1378.46,-1.41,SL,280.54,268.86
BUY,282.61,953,2023-11-13 00:00:00,283.97,955,2023-11-15 00:00:00,279.97,314.69,-1347.5,-1.41,SL,279.97,291.96
SELL,281.34,956,2023-11-16 00:00:00,279.7,958,2023-11-20 00:00:00,283.45,328.49,-1324.31,-1.34,SL,283.45,272.21
BUY,283.87,960,2023-11-22 00:00:00,286.16,963,2023-11-27 00:00:00,282.36,317.19,-1295.5,-1.33,SL,282.36,293.75
SELL,281.34,964,2023-11-28 00:00:00,279.91,968,2023-12-04 00:00:00,271.62,284.2,2277.63,2.96,TP,284.06,271.62
BUY,277.54,969,2023-12-05 00:00:00,279.62,970,2023-12-06 00:00:00,274.96,262.87,-1297.87,-1.67,SL,274.96,288.94
SELL,267.4,971,2023-12-07 00:00:00,265.12,981,2023-12-21 00:00:00,265.19,213.35,-71.5,-0.03,TIMEOUT,270.74,253.89
BUY,268.67,982,2023-12-22 00:00:00,271.3,992,2024-01-09 00:00:00,275.28,167.03,619.12,1.47,TIMEOUT,264.13,285.64
BUY,273.73,994,2024-01-11 00:00:00,275.71,1004,2024-01-25 00:00:00,272.62,391.58,-1317.33,-1.12,SL,272.62,281.9
BUY,272.47,1006,2024-01-29 00:00:00,274.05,1013,2024-02-07 00:00:00,279.07,471.56,2236.83,1.83,TP,271.54,279.07
SELL,283.87,1014,2024-02-08 00:00:00,282.17,1016,2024-02-12 00:00:00,284.77,472.45,-1362.29,-0.92,SL,284.77,276.97
BUY,287.67,1018,2024-02-14 00:00:00,289.06,1022,2024-02-20 00:00:00,286.19,418.51,-1321.49,-0.99,SL,286.19,294.8
SELL,283.87,1023,2024-02-21 00:00:00,282.0,1025,2024-02-26 00:00:00,285.76,312.42,-1263.37,-1.33,SL,285.76,274.47
BUY,290.21,1026,2024-02-27 00:00:00,292.52,1034,2024-03-11 00:00:00,301.08,268.56,2219.13,2.93,TP,288.24,301.08
BUY,299.08,1035,2024-03-12 00:00:00,300.9,1037,2024-03-14 00:00:00,297.05,310.08,-1286.51,-1.28,SL,297.05,308.6
